time,Vin,taco,pote,pin8
0,0,0.00366300366300365,3.7973137973138,0.534798534798535
0.02,0,0.00122100122100122,3.80708180708181,0.544566544566544
0.04,0,0.00366300366300365,3.7973137973138,0.549450549450549
0.06,0,0.00366300366300365,3.8021978021978,0.51037851037851
0.08,0,0.00122100122100122,3.7973137973138,0.52991452991453
0.1,0,0.00366300366300365,3.8021978021978,0.466422466422467
0.12,0,0.00366300366300365,3.7973137973138,0.554334554334554
0.14,0,0.00366300366300365,3.7973137973138,0.544566544566544
0.16,0,0.00366300366300365,3.7973137973138,0.53968253968254
0.18,0,0.00122100122100122,3.7973137973138,0.549450549450549
0.2,0,0.00366300366300365,3.8021978021978,0.505494505494505
0.22,0,0.00366300366300365,3.7973137973138,0.564102564102564
0.24,0,0.00366300366300365,3.79242979242979,0.525030525030525
0.26,0,0.00122100122100122,3.7973137973138,0.466422466422467
0.28,0,0.00366300366300365,3.7973137973138,0.534798534798535
0.3,0,0.00610500610500608,3.8021978021978,0.52014652014652
0.32,0,0.00366300366300365,3.7973137973138,0.544566544566544
0.34,0,0.00366300366300365,3.7973137973138,0.554334554334554
0.36,0,0.00122100122100122,3.7973137973138,0.534798534798535
0.38,0,0.00366300366300365,3.8021978021978,0.52991452991453
0.4,0,0.00610500610500608,3.79242979242979,0.534798534798535
0.42,0,0.00122100122100122,3.7973137973138,0.476190476190476
0.44,0,0.00366300366300365,3.8021978021978,0.544566544566544
0.46,0,0.00366300366300365,3.7973137973138,0.544566544566544
0.48,0,0.00122100122100122,3.8021978021978,0.559218559218559
0.5,0,0.00366300366300365,3.7973137973138,0.559218559218559
0.52,0,0.00610500610500608,3.7973137973138,0.554334554334554
0.54,0,0.00366300366300365,3.80708180708181,0.53968253968254
0.56,0,0.00366300366300365,3.8021978021978,0.52991452991453
0.58,0,0.00366300366300365,3.7973137973138,0.51037851037851
0.6,0,0.00122100122100122,3.8021978021978,0.53968253968254
0.62,0,0.00122100122100122,3.8021978021978,0.476190476190476
0.64,0,0.00122100122100122,3.78754578754579,0.534798534798535
0.66,0,0.00366300366300365,3.7973137973138,0.51037851037851
0.68,0,0.00122100122100122,3.7973137973138,0.534798534798535
0.7,0,0.00122100122100122,3.80708180708181,0.515262515262515
0.72,0,0.00122100122100122,3.8021978021978,0.495726495726496
0.74,0,0.00122100122100122,3.7973137973138,0.51037851037851
0.76,0,-0.00122100122100122,3.7973137973138,0.544566544566544
0.78,0,0.00122100122100122,3.7973137973138,0.51037851037851
0.8,0,0.00122100122100122,3.7973137973138,0.534798534798535
0.82,0,0.00366300366300365,3.7973137973138,0.52014652014652
0.84,0,0.00366300366300365,3.7973137973138,0.51037851037851
0.86,0,0.00366300366300365,3.7973137973138,0.52991452991453
0.88,0,0.00366300366300365,3.7973137973138,0.564102564102564
0.9,0,0.00366300366300365,3.8021978021978,0.51037851037851
0.92,0,0.00122100122100122,3.7973137973138,0.573870573870574
0.94,0,0.00122100122100122,3.79242979242979,0.515262515262515
0.96,0,0.00366300366300365,3.8021978021978,0.52014652014652
0.98,0,0.00366300366300365,3.7973137973138,0.573870573870574
1,1,0.00122100122100122,3.7973137973138,0.544566544566544
1.02,1,0.0231990231990231,3.80708180708181,0.315018315018316
1.04,1,0.0354090354090353,3.86080586080586,0.310134310134311
1.06,1,0.0549450549450547,3.96336996336996,0.285714285714286
1.08,1,0.0720390720390718,4.01221001221001,0.246642246642246
1.1,1,0.0891330891330888,4.11477411477411,0.202686202686202
1.12,1,0.118437118437118,4.35409035409035,0.319902319902321
1.14,1,0.135531135531136,4.49084249084249,0.246642246642246
1.16,1,0.142857142857143,4.63247863247863,0.197802197802197
1.18,1,0.162393162393163,4.84737484737485,0.231990231990231
1.2,1,0.194139194139194,0,0.202686202686202
1.22,1,0.199023199023199,0.0073260073260073,0.217338217338217
1.24,1,0.218559218559219,0.231990231990231,0.168498168498168
1.26,1,0.223443223443224,0.466422466422467,0.0854700854700852
1.28,1,0.252747252747253,0.945054945054945,0.124542124542124
1.3,1,0.267399267399267,1.18925518925519,0.1001221001221
1.32,1,0.277167277167277,1.49206349206349,0.222222222222221
1.34,1,0.291819291819292,1.78021978021978,0.09035409035409
1.36,1,0.311355311355311,2.24908424908425,0.163614163614163
1.38,1,0.323565323565323,2.57631257631258,0.158730158730158
1.4,1,0.343101343101343,2.89377289377289,0.0805860805860803
1.42,1,0.35042735042735,3.61660561660562,0.144078144078144
1.44,1,0.38949938949939,4.22222222222222,0.124542124542124
1.46,1,0.3992673992674,4.67155067155067,0.236874236874236
1.48,1,0.404151404151404,5,0.105006105006105
1.5,1,0.409035409035409,0.173382173382173,0.09035409035409
1.52,1,0.423687423687424,0.568986568986569,0.0415140415140414
1.54,1,0.450549450549451,1.33089133089133,0.114774114774114
1.56,1,0.448107448107448,1.80952380952381,0.0610500610500608
1.58,1,0.47985347985348,2.55677655677656,0.1001221001221
1.6,1,0.492063492063492,3.01587301587302,0.0268620268620268
1.62,1,0.501831501831502,3.48473748473748,0.124542124542124
1.64,1,0.511599511599512,4.03663003663004,0.0610500610500608
1.66,1,0.511599511599512,4.55433455433455,0.0854700854700852
1.68,1,0.531135531135531,0.0268620268620268,0.0268620268620268
1.7,1,0.540903540903541,0.354090354090355,0.0415140415140414
1.72,1,0.565323565323565,1.54090354090354,-0.124542124542124
1.74,1,0.572649572649572,2.07326007326007,0.0512820512820511
1.76,1,0.57997557997558,2.64468864468864,-0.0219780219780219
1.78,1,0.599511599511599,3.62148962148962,0.109890109890109
