time,Vin,taco,pote,pin8
0,0,0.00366300366300365,0.1001221001221,0.554334554334554
0.02,0,0.00366300366300365,0.1001221001221,0.505494505494505
0.04,0,0.00366300366300365,0.1001221001221,0.534798534798535
0.06,0,0.00366300366300365,0.1001221001221,0.52991452991453
0.08,0,0.00122100122100122,0.1001221001221,0.505494505494505
0.1,0,0.00610500610500608,0.1001221001221,0.525030525030525
0.12,0,0.00122100122100122,0.1001221001221,0.505494505494505
0.14,0,0.00366300366300365,0.1001221001221,0.52991452991453
0.16,0,0.00122100122100122,0.1001221001221,0.544566544566544
0.18,0,0.00366300366300365,0.1001221001221,0.559218559218559
0.2,0,0.00366300366300365,0.1001221001221,0.554334554334554
0.22,0,0.00122100122100122,0.1001221001221,0.515262515262515
0.24,0,0.00366300366300365,0.1001221001221,0.549450549450549
0.26,0,0.00122100122100122,0.1001221001221,0.525030525030525
0.28,0,0.00366300366300365,0.1001221001221,0.544566544566544
0.3,0,0.00366300366300365,0.1001221001221,0.53968253968254
0.32,0,0.00366300366300365,0.1001221001221,0.525030525030525
0.34,0,0.00366300366300365,0.1001221001221,0.534798534798535
0.36,0,0.00122100122100122,0.1001221001221,0.485958485958486
0.38,0,0.00366300366300365,0.1001221001221,0.51037851037851
0.4,0,0.00610500610500608,0.1001221001221,0.525030525030525
0.42,0,0.00122100122100122,0.1001221001221,0.568986568986569
0.44,0,0.00366300366300365,0.1001221001221,0.52014652014652
0.46,0,0.00366300366300365,0.1001221001221,0.51037851037851
0.48,0,0.00366300366300365,0.1001221001221,0.525030525030525
0.5,0,0.00366300366300365,0.1001221001221,0.52991452991453
0.52,0,0.00366300366300365,0.1001221001221,0.51037851037851
0.54,0,0.00366300366300365,0.1001221001221,0.525030525030525
0.56,0,0.00366300366300365,0.1001221001221,0.549450549450549
0.58,0,0.00366300366300365,0.1001221001221,0.52014652014652
0.6,0,0.00366300366300365,0.1001221001221,0.525030525030525
0.62,0,0.00366300366300365,0.1001221001221,0.544566544566544
0.64,0,0.00366300366300365,0.1001221001221,0.544566544566544
0.66,0,0.00122100122100122,0.1001221001221,0.53968253968254
